,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornamental Winners,Agricultural Winners,Nitrogen-fixer?,family,Generic Epithet,Specific Hybrid Symbol,Specific Epithet,Section,Botanic,Infraspecific rank,Infraspecific Epithet,Cultivar Epithet,comm_ful,Conservation Status,Native range,"Habit (tree, shrub, vine)",# stems,Growth rate,Lifespan,Max Height (ft),Max Spread (ft),Leaf persistence,HABITAT,Wetland indicator,Light exposure,Soil preferences,Propagation,Root type/depth,Container Type,Transplant Time,Time to prune,Insect Pests,Disease,pH min,pH max,USDA Hardiness Zone,Salt Tolerance,Drought tolerance,Heat tolerance,"Flood Tolerance intolerant, tolerant, medium (10-30% season)",Leaf color,Fall color,flower color,Bloom time,Fruit color,Bark features,Thorns?,Fruit type,CTLA Species rating,Edible?,Wildlife value,"wildlife habitat uses            DB = high value deer browse
WB = wildlife browse
WM = wildlife mast (fruit, nut, seed)
WC = wildlife cover
",wildlife specific uses,Uses,Umass treecount
,,,,,,,,Sambucus canadensis,,,,,,,S,,R,M,12,7,,,FACW-,sun,,,,,,,,,5.0-7.0,,4a,N,M,,T,,,,Sp,,,,,,,,,,"suckering habit, preferred for wildlife habitat, shelterbelts in moist woodland, adapt to wide range of soil cond., fruit edible, seed cold strat. Req.",
,,,,,,,,viburnum acerifolium,,,,,,,S,,S,L,6,4,,,None,shade,,,,,,,,,4.8-7.5,,4a,N,H,,,,,,Ind,,,,,,,,,,"suckers, good for shady mass plantings, used on shallow, steep or gravelly problem soils, seed cold strat. Req. **Difficult to grow (TNC) and may be dropped.",
,,,,,,,,Pinus rigida,,,,,,,T,,1st S/R,M,40,,,,FACU,sun,,,,,,,,,4.6-6.5,,2b,N,M,,,,,,Sp,,,,,,,,,,"survives injury, good screening tree on dry, sandy soils, sensitive to compaction",
,,,,,,,,Fraxinus pennsylvanica,,,,,,,T,,R,M,60,20,,,FACW,sun/partial,,,,,,,,,5.0-8.0,,2,M,M,,T,,,,lSp,,,,,,,,,,"tol. flooding, ornamental",
,,,,,,,,Viburnum recognitum,,,,,,,S,,R,M,12,,,,FACW-,sun/partial,,,,,,,,,5.1-7.0,,2,N,L,,,,,,lSp,,,,,,,,,,"tolerates alkaline soils, seed cold strat. Req.",
,,,,,,,,Quercus rubra,,,,,,,T,,M,L,100,60,,,FACU-,sun/partial,,,,,,,,,4.3-6.5,,4a,H,M,,,,,,mSp,,,,,,,,,,"tolerates urban conditions, seed cold strat. Req. sensitive to compaction; one of the more important lumber species of red oak, easily transplanted, popular shade tree",
,,,,,,,,Cornus racemosa,,,,,,,S,,M,M,12,12,,,FAC,sun/partial,,,,,,,,,5.0-7.0,,3,N,M,,,,,,Sp,,,,,,,,,,"transplant in early spring only, seed cold strat. Req.",
,,,Rosaceae,amelanchier,,arborea,,Amelanchier arborea,,,,"serviceberry, downy",Least concern,,"S,T",,,,,,D,,"FAC (Eastern Mountains and Piedmont), FACU (Great Plains), FACU (Midwest), FACU (Northcentral & Northeast), FACU (Arid West), FACU (Atlantic and Gulf Coastal Plain)",,,,,,,,,,5,6,,,,,,,,,,,,,,60,,HIGH,"WB,WM","Fruit eaten by grouse, woodpecker, mimics, evening/rb grosbeak, oriole, robin, thrush, cedar waxwing, tanager, cardinal, towhee, red fox, coyote, bear, Bark, buds and wood eaten by beaver, Browsed by deer and moose.","understory plant, seed cold strat. Req. Common; dry woods, shores.",12
,,,,,,,,Carpinus caroliniana,,,,,,,T,,S,S,40,39,,,FAC,shade,,,,,,,,,4.0-7.4,,3,N,L,,T,,,,mSp,,,,,,,,,,"use for an understory tree, use on problem soils like shallow, steep or gravelly, seed cold strat. Req., Found in rich moist soil, bottomlands, swamps and river margins.",
,,,,,,,,Carya glabra,,,,,,,T,,S,L,100,39,,,FACU-,sun,,,,,,,,,6.5-7.4,,4,N,H,,,,,,mSp,,,,,,,,,,"very sensitive to frost, intolerant of soil or root damage; VT Rare",
,,,Betulaceae,betula,,alleghaniensis,,Betula alleghaniensis,,common in moist soils,,"birch, yellow",,,T,1,R,L,50,45,D,common in moist soils,FAC,sun/partial,,,,,fall,,,,4.6-7.0,6,3,M,M,low,,,yellow,,lSp,,,,,,,HIGH,"WB,WM","Buds, catkins and seeds eatern by grouse, seeds eaten by chickadee, redpoll, pine siskin, goldfinch, Bark eaten by porcupine, beaver, rabbit, Browsed by deer and moose. Sap eaten by sapsucker","wintergreen taste, scarification of seedbed improves seed estab.",
*,,,,,,,,Diospyros virginiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,Betulaceae,betula,,papyrifera,,betula papyrifera,,,,"birch, paper",Least concern,,T,,R,S,70,30,,,FACU,sun,"moist, acidic, well-drained",,,,,,,,4.5-7.0,,2,M,L,,I,,,,mSp,,,Resistance to verticillium wilt,,70,,,,,,28
,,,,,,,,Acer negundo,,,,,,,T,,,S,,,D,,FAC+,sun/partial,,,,,,,,,5.2-7.0,,2,M,H,,T,,,,,,,,,,,LOW,"WB,WM","Seeds eaten by evening and pine grosbeak, purple finch, Occasional nesting. Browsed by deer when young.",,
,,,,,,,,Alnus rugosa,,,,Hazel Alder,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Alnus viridis,,,,Green Alder - 'Crispa',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Amelanchier alinifolia,,,,Regent Saskatoon Serviceberry,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Amelanchier alinifolia,,,,Standing Ovation™ Serviceberry aka 'Obelisk',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Caragana aborescens,,,,"Siberian Peashrub
Restricted Noxious Week in Minnesota - may no longer be grown or sold in Minnesota except for the sterile 'Jefarb' (Green Spires®)",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Caragana arborescens,,,,"Siberian Peashrub - 'Walker', 'Pendula', 'Green Spires', 'Sutherland'",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Caragana frutex,,,,Glove Peashrub aka 'Globosa',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Comptonia peregrina,,,,Sweetfern,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus alba,,,,First Editions® Neon Burst™ 'ByBoughen',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus alba,,,,‘Prairie Fire’,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus bailei,,,,Red Twig Dogwood,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea,,,,Cardinal' Red Osier Dogwood,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea,,,,Firedance™ aka 'Bailadeline' Dogwood,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea,,,,Dogwood - 'Flaviramea',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea,,,,Isanti Dogwood,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea,,,,Arctic Fire® Yellow,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotoneaster lucidus,,,,Hedge Cotoneaster,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Elaeagnus angustifolia,,,,Russian Olive,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Elaeagnus commutata,,,,Silverberry - 'Silverscape',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fraxinus nigra,,,,Black Ash,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fraxinus pennsylvanica,,,,Patmore',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juglans cinerea,,,,Butternut,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Larix laricina,,,,American Larch,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Larix siberica,,,,Siberian Larch,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus,,,,"Crab Apple - 'Columbia', 'Dolgo', 'Hopa', 'Gladiator'™ aka 'Durleo', 'Kelsey', 'Morning Princess', 'Pink Spires', 'Selkirk'",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus,,,,Starlight™ - 'Jeflite',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus  x adstringens,,,,Gladiator’™ aka 'Durleo’,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus  x adstringens,,,,Emerald Spire®' aka 'Jefgreen',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Microbiota decussata,,,,Russian Cypress,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Physocarpus opulifolius,,,,Dart's Gold' Ninebark,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Physocarpus opulifolius,,,,Amber Jubilee™ aka 'Jeffcam' Ninebark,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Physocarpus opulifolius,,,,Dwarf Ninebark aka 'Nanus',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea abies,,,,Norway Spruce,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea engelmannii,,,,Engelmann Spruce,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea glauca,,,,Weeping White Spruce - 'Pendula',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea pungens,,,,Hoopsii',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea pungens,,,,Majestic Blue',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea pungens,,,,Colorado Spruce,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea pungens var. glauca,,,,Fastigiata' Spruce,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus banksiana,,,,Jack Pine,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus flexilis,,,,Limber Pine,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus mugo,,,,Mugo Pine - 'Tannenbaum',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus mugo pumilio,,,,Mugo Pine,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus resinosa,,,,Red pine,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus sylvestris,,,,Scotch Pine,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Populus balsamifera,,,,Balsam Poplar,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Populus grandidentata,,,,Bigtooth Aspen,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Populus nigra,,,,Theves Poplar - 'Afghanica',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Populus tremula,,,,Columnar Swedish Aspen - 'Erecta',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Populus tremuloides,,,,Quaking Aspen,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Potentilla fruiticosa,,,,"Potentilla - 'Abbotswood', 'Fargo' Dakota Sunspot®, 'Gold Drop', 'Goldfinger', 'UMan' Mango Tango™, 'McKay's White', 'Pink Beauty', 'Primrose Beauty', 'Setting Sun'",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Potentilla fruiticosa,,,,"Potentilla – Citrus
Tart™ aka'Bailcitrus’",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Potentilla fruiticosa,,,,"First Editions® Mandarin Tango™ Potentilla aka 'Jefman', First Editions® Marmalade™ Potentilla aka 'Jefmarm'",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus maackii,,,,Amur Chokecherry - 'Jefspur' Goldspur Amur Chokecherry,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus nigra,,,,Canada plum - 'Princess Kay',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus tomentosa,,,,Nanking Cherry,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus virginiana,,,,Canada Red Cherry - 'Shubert Select',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus x nigrella,,,,Muckle Plum,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhamnus frangula,,,,"Fine Line Buckthorn - 'Ron Williams'
Restricted Noxious Weed in Minnesota - may not be grown or sold in Minnesota.",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ribes alpinum,,,,Alpine Currant,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ribes alpinum,,,,Alpine Currant - 'Green Mound',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ribes aureum,,,,Yellow Flowering Currant,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix brachycarpa,,,,Blue Fox',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix candida,,,,"First Editions® Iceberg Alley™ Sageleaf Willow, aka 'Jefberg'",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix commutata,,,,Undergreen Willow,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix discolor,,,,Pussy Willow,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix discolor - Also listed in trees,,,,Pussy Willow,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix pentandra,,,,Laurel Willow - Prairie Reflection® aka 'Silver Lake',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Shepherdia argentea,,,,Silver Buffaloberry,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sorbaria sorbifolia,,,,"Ash Leaf Spiraea, Ural False Spirea",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sorbus aucuparia,,,,Cardinal Royal® aka 'Michred' Mountain Ash,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sorbus decora,,,,Showy Mountain Ash,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa,,,,"Minuet', 'Miss Canada'",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa vulgaris,,,,Common Purple Lilac,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa vulgaris,,,,"New Age White, aka 'G13103' PPAF",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa x,,,,Little Lady™ aka 'Jeflady',,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa x hyacinthiflora,,,,"Hyacinth Lilac - 'Asessippi', 'Mount Baker', 'Pocahontas'",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa x prestoniae,,,,"Donald Wyman', 'James Macfarlane'",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tamarix ramosissima,,,,Summer Glow Tamarisk,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tilia x mongolica,,,,Harvest Gold Linden,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Viburnum lentago,,,,Nannyberry Viburnum,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Viburnum trilobum,,,,"American Cranberrybush Viburnum - 'Alfredo', 'Bailey Compact', Redwing® aka 'JN Select', 'Wentworth'",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,Viburnum trilobum,,,,Redwing® aka 'J.N. Select' Cranberry Bush - Tree Form,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,Adoxaceae,viburnum,,dentatum,,viburnum dentatum,,,,"viburnum, arrowwood",Least concern,,,,,,,,,,"FAC (Eastern Mountains and Piedmont), FAC (Great Plains), FAC (Midwest), FAC (Northcentral & Northeast), FAC (Atlantic and Gulf Coastal Plain), FACU (Atlantic and Gulf Coastal Plain / Western Gulf Coast)",sun,,,,,,,,,,,3,,high,,,,,,,,,,,70,,,,,,21
,,,Betulaceae,betula,,lenta,,betula lenta,,,,"birch, sweet",Least concern,,,,,L,55,45,,,"FACU (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Midwest), FACU (Northcentral & Northeast)",sun/partial,"deep, moist, slightly acid, well-drained soils (Dirr)",,,,,,,,4.8,6.8,3,N,M,,,,yellow,,lSp,,,Resistance to verticillium wilt,,60,,HIGH,"WB,WM","Buds, catkins and seeds eatern by grouse, seeds eaten by chickadee, redpoll, pine siskin, goldfinch, Bark eaten by porcupine, beaver, rabbit, Browsed by deer and moose.",,67
,,,Sapindaceae,acer,,platanoides,,Acer platanoides,,,,"maple, Norway",,,tree,1,fast,,50,40,deciduous,,,,,,,,,,,,,,3,high,,,,green,yellow,yellow,early spring,,,,,,,,,,,
,,,Sapindaceae,acer,,rubrum,,acer rubrum,,,armstrong,"maple, red",Least concern,,,,,,60,40,deciduous,,,,,,,,,,,,6,7.5,3,,,,,green,red,,,,smooth gray bark,,,70,,,,,,515
*,,,Sapindaceae,acer,,saccharum,,acer saccharum,,,,"maple, sugar",Least concern,eastern Canda to Georgia,"upright, rounded tree",1,,,75,50,deciduous,,,,"well-drained, moist, acid soils (Dirr)",,,,,,,,6,7.5,3,,,,,,red,greenish yellow,early spring,,,,,90,,,,,,262
,,,Sapindaceae,acer,,tataricum,,acer tataricum subsp. ginnala,,,,"maple, tatarian",Least concern,"central to northeastern China, Japan","small, rounded tree",multiple,,,18,15,,,,,tolerant to alkaline soils,,,,,,,,6,7.5,3,,moderate,,,,,white,early spring,,smooth gray,,,70,,,,,,2
,,,Sapindaceae,aesculus,,glabra,,aesculus glabra,,,,"buckeye, ohio",Least concern,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,80,,,,,,
,,,,,,,,Acer pensylvanicum,,,,,,,"upright, rounded",,s,s,30,30,D,understory species,FACU,part shade,,,,,,,,,,,3,,,,,,,,,,snakebark,,,,,MOD,"DB,WB,WM","Seeds eaten by evening and pine grosbeak, purple finch, rb nuthatch, turkey, grouse, squirrels, chipmunk, and mice. Bark, leaves, twigs, and branches eaten by beaver, porcupine. Browsed by deer (preferred), moose (preferred and often ""bark stripped"") and hare.",,
,,,,,,,,Acer pseudosieboldianum,,,,Korean Maple,,,,,,,25,25,deciduous,,,,,,,,,,,,,,3,,,,,,red,,,,,,,,,,,,,
,,,,,,,,Acer ginnala,,,,Amur Maple - 'Embers',,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Acer x freemanii,,,,Freeman Maple - 'Sienna Glen'®,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Acer x pseudosieboldianum,,,,Northern Spotlight® aka ‘KorDak’,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Aesculus x,,,,"Painted Buckeye 'Autumn Splendor', 'Homestead', 'Bergeson' (Prairie Torch)",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Amelanchier x grandiflora,,,,"Serviceberry - 'Autumn Brilliance', 'Princess Diana', 'Cole's Select'",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Andromeda polifolia,,,,Bog Rosemary - 'Nana',,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Arctostaphylos uva-ursi,,,,Bearberry - 'Massachusetts',,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Aronia melanocarpa,,,,"Black Chokeberry - 'Autumn Magic', 'Glossy Black' 3/4/14 BNI (Z3) 'Morton' Iroquois Beauty™ 3/6/14 CG (Z3)",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Aronia melanocarpa,,,,"Low Scape™ Mound Black Chokeberry'UCONNAM165' PPAF, Low Scape™ Hedger Black Chokeberry 'UCONNAM166' PPAF",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Aronia melanocarpa,,,,Ground Hug™ aka'UCONNAM012',,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Aronia melanocarpa,,,,Chokeberry - Autumn Magic Black - tree form,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Caragana pygmaea,,,,Pygmy Peashrub,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Carpinus caroliniana,,,,FirespireTM aka ‘J.N. Upright’,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Carpinus caroliniana,,,,Blue Beech or American Hornbeam,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ceanothus americanus,,,,New Jersey Tea,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus alba,,,,"Dogwood - 'Argenteo-marginata', 'Minbat', 'Buds Yellow', 'Bailhalo', 'Elegantissima', 'Sibirica'",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus alternifolia,,,,Pagoda Dogwood - Golden Shadows®,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus alternifolia,,,,"Pagoda Dogwood - Pagoda Dogwood, aka ‘W. Stackman’ PP11.287",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus racemosa,,,,Gray Dogwood,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea,,,,Alleman's Compact Dogwood,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea,,,,Silver and Gold Dogwood,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea (stolonifera),,,,Arctic Fire™ aka 'Farrow' Dogwood,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Corylus americana,,,,American Hazelnut - 'Purpleleaf Bailey Select',,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Crataegus x mordenensis,,,,"Hawthorn - 'Snowbird', 'Toba'",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Dierivilia lonicera,,,,Dwarf Bush Honeysuckle,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Dirca palustris,,,,Leatherwood,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Euonymus alatus,,,,"Winged Burning Bush
Specially Regulated Plant in Minnesota (3-year phase-out period) and will become a Restricted Noxious Weed in 2023.",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Euonymus bungeana,,,,"Winterberry Euonymus - 'Prairie Radiance', 'Verona'",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
*,,,,,,,,Exochorda x macrantha,,,,Pearlbush - 'Bailmoon' aka Lotus Moon™,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Forsythia,,,,"Meadowlark', 'Northern Gold'",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fraxinus mandshurica,,,,Mancana Ash,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fraxinus nigra,,,,Fallgold Ash,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gaultheria procumbens,,,,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gleditsia triacanthos var. inermis,,,,Honeylocust - 'Northern Acclaim®',,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis virginiana,,,,Witch Hazel,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea arborescens,,,,Invincibelle Spirit',,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
