scientific_name,family,genus,growth_habit,conservation_status,catalog_source
Acer leucoderme,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer longipes,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer macrophyllum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer mandshuricum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer maximowiczianum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer micranthum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer miyabei,Sapindaceae,Acer,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer monspessulanum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer negundo,Sapindaceae,Acer,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer nigrum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer oblongum membranaceum,Sapindaceae,Acer,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer obtusifolium,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer oliverianum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer opalus,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer palmatum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
