scientific_name,common_name,family,genus,usda_hardiness_zone,rhs_hardiness_rating,height_mature_ft,native_status,habitat,taxonomic_note,conservation_status,tso_url,catalog_source
Acer thomsonii,,Sapindaceae,Acer,6,H6,98.4,"Bhutan, Myanmar, China, India, Nepal, Thailand",Mixed forests and valleys between 900 and 3000 m.,"This species was treated as a subspecies of Acer sterculiaceum by van Gelderen et al. (1994) , but at specific rank by Xu et al . (2008) and van Welzen, Manandhar and Pendry (2017) , whose treatments are followed here.",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-thomsonii/,Trees and Shrubs Online (IDS)
Acer tibetense,,Sapindaceae,Acer,8-9,H4,65.6,"China, India",Forests and valleys between 1600 and 2700 m asl.,,Vulnerable (VU),https://www.treesandshrubsonline.org/articles/acer/acer-tibetense/,Trees and Shrubs Online (IDS)
Acer tonkinense,Tonkin Maple,Sapindaceae,Acer,8-9,H3,39.4,"Myanmar, China, Thailand, Vietnam",Mixed forest between 300 and 1800 m asl.,"van Gelderen et al. (1994) recognised two subspecies with somewhat larger leaves: subsp. kwangsiense , with leaves 12–17 cm across with sparse teeth on the margin (cultivated by Plantentuin Esveld under glass in the Netherlands); and subsp. liquidambarifolium , with evenly lobed leaves 8–14 cm across. However, these subspecies are not accepted by Xu et al. (2008) , whose more recent treatment is f",Near threatened (NT),https://www.treesandshrubsonline.org/articles/acer/acer-tonkinense/,Trees and Shrubs Online (IDS)
Acer triflorum,Three-flowered Maple,Sapindaceae,Acer,4-8,H7,82.0,"China, North Korea, South Korea",Mixed forests between 400 and 1700 m asl.,"As detailed by Nicholson (1997) , a variety leiopodum was described 1934 from material collected by G. Fenzel from woods in Shaanxi Province, with smaller leaflets with glaucous lower surfaces and slightly pilose or glabrous veins and petioles. Elevated to species rank in 1966, it was then reduced to synonymy by van Gelderen et al. (1994) . It remains a synonym, though now attributed to A. griseum",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-triflorum/,Trees and Shrubs Online (IDS)
Acer truncatum,Shantung Maple,Sapindaceae,Acer,5-6,H7,32.8,"China, North Korea, South Korea",Understoreys of temperate forests between 400 and 1000 m asl.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-truncatum/,Trees and Shrubs Online (IDS)
Acer tschonoskii,,Sapindaceae,Acer,5,H5,,Japan,"Cool temperate to subalpine forests, often along ridges of higher mountain slopes.","Acer tschonoskii subsp. koreanum was recognised by van Gelderen et al. (1994) but this has since been proven indistinct from Acer komarovii and should now be considered a synonym of that species ( Chang & Kim 2003 , Xu et al . 2008 , de Jong 2019 ).",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-tschonoskii/,Trees and Shrubs Online (IDS)
Acer tsinglingense,Qinling Maple,Sapindaceae,Acer,5,H6,32.8,China,"Sparse forests between 1200 and 1500 m asl. Associated genera include Carpinus , Malus and Corylus, as well as other Acer species.","This species has been treated as synonymous with A. sterculiaceum subsp. franchetii by some North American botanists ( Justice 2010 ), as included by ( van Gelderen et al. 1994 ), though with acknowledgement that further study was needed to determine its correct placement. It is treated as distinct here, consistent with Xu et al . (2008 ).",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-tsinglingense/,Trees and Shrubs Online (IDS)
Acer turkestanicum,,Sapindaceae,Acer,5-6,H7,49.2,"Afghanistan, Kyrgyzstan, Pakistan, Tajikistan, Turkmenistan, Uzbekistan",Temperate forests and steppe habitats.,"Treated as a subspecies of Acer platanoides by van Gelderen et al. (1994) , but treated as a species here.",Data deficient (DD),https://www.treesandshrubsonline.org/articles/acer/acer-turkestanicum/,Trees and Shrubs Online (IDS)
Acer tutcheri,,Sapindaceae,Acer,7-8,H4,,"China, Taiwan",Forests between 300 and 1000 m asl.,"Two varieties are treated by Xu et al. (2008) : the nominate variety, var. tutcheri , with samaras 1.5–2.5 cm long and spreading variously, and var. shimadae , which has smaller samaras (~1.5 cm), which spread at an acute angle.",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-tutcheri/,Trees and Shrubs Online (IDS)
Acer ukurunduense,,Sapindaceae,Acer,,,,"Native of the mountains of Japan and of N.E. Asia; date of introduction uncertain, but later than 1881.",,,,https://www.treesandshrubsonline.org/articles/acer/acer-ukurunduense/,Trees and Shrubs Online (IDS)
Acer velutinum,Persian Maple,Sapindaceae,Acer,5-6,H6,,"Azerbaijan, Georgia, Iran",Mixed forest between zero and 600 m asl.,"Several varieties within Acer velutinum have been described, with Pojarkova (1974) treating the most in her account of Aceraceae for Flora of the U.S.S.R. , recognising six within that region. van Gelderen et al. (1994) took a more conservative view, treating only two varieties along with the typical form within Acer velutinum : var. glabrescens and var. vanvolxemii. Siahkolaee et al. (2017) then ",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-velutinum/,Trees and Shrubs Online (IDS)
Acer wardii,,Sapindaceae,Acer,7-8,H3,32.8,"China, India",Alpine forest between 2400 and 3600 m asl.,"Acer wardii is currently considered the sole member of Sect. Wardiana . It was treated within Sect. Macrantha by Xu et al. (2008) , but was considered closer to Section Palmata by de Jong (2002) . It was not included in Li et al. (2019) (see genus article) and further work is required to elucidate its phylogenetic position.",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-wardii/,Trees and Shrubs Online (IDS)
Acer wilsonii,Wilson's Maple,Sapindaceae,Acer,7-8,H4,49.2,"Myanmar, China, Vietnam","Forests, between 900 and 2000 m asl.","Acer wilsonii was treated as a subspecies of A. campbellii by van Gelderen et al . (1994) though at specific rank by Xu et al. (2008) , whose treatment is followed here. It is morphologically distinct from A. campbellii, with smaller, more entire-margined leaves that are predominantly three-lobed in maturity, rather than seven-lobed and serrated. Its flowers also have a glabrous disk, which in A. ",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-wilsonii/,Trees and Shrubs Online (IDS)
Acer yui,,Sapindaceae,Acer,5,H6,23.0,China,"Mixed forests and valleys between 1800 and 2000 m asl. Associated species in Gansu include Quercus baronii , Koelreuteria paniculata , Euonymus sp., Spiraea triloba , Pinus tabuliformis and Syringa pekinensis.","van Gelderen, de Jong & Oterdoom (1994) recognise a second variety, var. leptocarpum , within this species. Xu et al. (2008 ), whose treatment is followed here, consider this a synonym of the type.",Endangered (EN),https://www.treesandshrubsonline.org/articles/acer/acer-yui/,Trees and Shrubs Online (IDS)
Acer × conspicuum,,Sapindaceae,Acer,5-7,H5,32.8,"Bosnia and Herzegovina, Croatia, France, Greece, Italy, North Macedonia, Serbia, Slovenia, Spain","As of its parents, where they overlap.","Hybrids between A. monspessulanum and A. opalus subsp. obtusatum have been recorded on several occasions. Most have been recorded from cultivated trees, though some are of known wild origin ( de Jong 2011) . Several names have been assigned to those that have been separately described, included here in synonymy. Bean’s (1976) inclusion of Acer pseudoplatanus in the parentage of A. × coriaceum , ra",Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acer/acer-x-conspicuum/,Trees and Shrubs Online (IDS)
