scientific_name,family,genus,growth_habit,notes,catalog_source
Ardisia pterocaulis,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia quinquegona,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia ridleyi,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia serrata,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia solanacea,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia thyrsiflora,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca caliso,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca catechu,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca concinna,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca hutchinsoniana,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca ipot,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca jokowi,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca macrocalyx,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca mandacanii,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca montana,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca novohibernica,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca parens,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca triandra,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca unipa,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca vestiaria,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Areca whitfordii,Arecaceae,Areca,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Arenga engleri,Arecaceae,Arenga,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Arenga listeri,Arecaceae,Arenga,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Arenga micrantha,Arecaceae,Arenga,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Arenga microcarpa,Arecaceae,Arenga,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
